%'depth(m)'   'Vp(km/s)'   'Vs(km/s)'	 'rho(gm/cc)'	'GR'	    'nphi' 
   2201.7715      2.6012      1.0117      2.0971     85.1532       .4452
   2201.9241      2.6027      1.0203      2.1504     86.1138       .4322
   2202.0764      2.5700       .9889      2.1106     86.0577       .4520
   2202.2288      2.6008       .9718      2.0861     87.5601       .4645
   2202.3811      2.6606       .9689      2.1074     87.0605       .4521
   2202.5337      2.6771       .9689      2.1752     84.1063       .3992
   2202.6860      2.5981       .9667      2.1131     82.6176       .4212
   2202.8384      2.5761      1.0175      2.0301     82.9660       .4661
   2202.9907      2.5481       .9747      1.9740     82.8430       .4838
   2203.1433      2.5261       .9768      2.0384     80.7453       .4251
   2203.2957      2.4870       .9458      2.0232     79.5388       .3592
   2203.4480      2.4533       .9487      2.0279     80.2004       .3609
   2203.6003      2.4125       .8591      1.9735     79.2691       .4158
   2203.7527      2.5201       .8807      2.0114     81.2517       .4678
   2203.9053      2.5242       .9099      2.0201     83.1126       .4799
   2204.0576      2.5628      1.1331      2.0413     87.9386       .4466
   2204.2100      2.6071      1.1315      2.0078     88.7090       .4410
   2204.3623      2.7075      1.1810      1.9810     86.2576       .4576
   2204.5149      2.7398      1.1104      1.9492     85.4005       .4734
   2204.6672      2.6744      1.1160      1.9974     83.6873       .4563
   2204.8196      2.6719      1.1394      2.0936     83.8037       .4019
   2204.9719      2.6193      1.1360      2.1807     78.6479       .3473
   2205.1245      2.5691      1.0613      2.2237     73.7260       .3153
   2205.2769      2.5396       .9873      2.2031     72.6868       .3235
   2205.4292      2.5513       .9444      2.2032     73.6097       .3299
   2205.5815      2.5814       .9672      2.2116     76.9844       .3329
   2205.7339      2.6075      1.0177      2.2100     80.2213       .2994
   2205.8865      2.6418      1.0177      2.1522     83.0191       .3378
   2206.0388      2.6987      1.0409      2.1121     86.0743       .4120
   2206.1912      2.6931      1.0791      2.0964     88.2782       .4631
   2206.3435      2.7459      1.1140      2.1319     88.9763       .4606
   2206.4961      2.7040      1.1537      2.1739     90.0553       .4120
   2206.6484      2.7043      1.1537      2.2025     86.6965       .3855
   2206.8008      2.7265      1.1482      2.2416     86.0796       .3553
   2206.9531      2.7522      1.1539      2.2557     81.6418       .3268
   2207.1057      2.8507      1.1877      2.2395     80.1599       .3361
   2207.2581      2.8471      1.2357      2.2103     77.1583       .3360
   2207.4104      2.8815      1.2357      2.1901     74.2117       .3450
   2207.5627      2.9463      1.1016      2.1522     72.0085       .3259
   2207.7151      2.8836      1.1048      2.1262     69.6822       .3287
   2207.8677      2.8141      1.1078      2.1245     68.2459       .3227
   2208.0200      2.7770      1.1025      2.1410     66.2983       .3230
   2208.1724      2.7347      1.1025      2.1471     64.9621       .3184
   2208.3247      2.6114      1.0634      2.1444     65.0500       .3114
   2208.4773      2.6170      1.0463      2.1557     68.2974       .3011
   2208.6296      2.6078      1.0623      2.1375     73.6434       .3132
   2208.7820      2.5384      1.0255      2.1107     80.9224       .3471
   2208.9343      2.4881      1.0255      2.0476     84.7999       .3856
   2209.0869      2.5463       .9863      2.0393     84.3051       .4115
   2209.2393      2.5946      1.0268      2.0953     82.8335       .4070
   2209.3916      2.6184      1.0268      2.2005     82.2368       .4113
   2209.5439      2.6634      1.1376      2.2545     84.6807       .4338
   2209.6963      2.7183      1.1376      2.2080     83.8227       .4807
   2209.8489      3.0155      1.0741      2.1765     84.8898       .4877
   2210.0012      3.0797      1.1206      2.2159     82.6891       .4565
   2210.1536      3.0469      1.1679      2.2609     80.9235       .3867
   2210.3059      3.1074      1.1679      2.2787     75.9853       .3517
   2210.4585      3.1284      1.1894      2.2466     72.4269       .3329
   2210.6108      3.1427      1.2246      2.2188     70.7419       .3267
   2210.7632      3.2502      1.3081      2.2026     70.0238       .3105
   2210.9155      3.2375      1.2535      2.1941     68.6897       .3010
   2211.0681      3.1924      1.2535      2.1926     68.6892       .3058
   2211.2205      2.7959      1.1984      2.1957     67.3180       .3123
